team,name,position
樂天桃猿,宋嘉翔,捕手
樂天桃猿,林泓育,捕手
樂天桃猿,嚴宏鈞,捕手
樂天桃猿,梁家榮,內野手
樂天桃猿,林子偉,內野手
樂天桃猿,張趙紘,內野手
樂天桃猿,余德龍,內野手
樂天桃猿,林智平,內野手
樂天桃猿,許賀捷,內野手
樂天桃猿,馬傑森,內野手
樂天桃猿,李勛傑,內野手
樂天桃猿,林立,外野手
樂天桃猿,林政華,外野手
樂天桃猿,威克,外野手
樂天桃猿,道威聖,外野手
樂天桃猿,陳晨威,外野手
中信兄弟,林吳晉瑋,捕手
中信兄弟,高宇杰,捕手
中信兄弟,陳九登,捕手
中信兄弟,張士綸,內野手
中信兄弟,王威晨,內野手
中信兄弟,張仁瑋,內野手
中信兄弟,陳俊秀,內野手
中信兄弟,王政順,內野手
中信兄弟,黃韋盛,內野手
中信兄弟,江坤宇,內野手
中信兄弟,岳東華,內野手
中信兄弟,曾頌恩,外野手
中信兄弟,詹子賢,外野手
中信兄弟,宋晟睿,外野手
中信兄弟,岳政華,外野手
統一獅,陳重羽,捕手
統一獅,柯育民,捕手
統一獅,林子豪,內野手
統一獅,陳鏞基,內野手
統一獅,全紹凱,內野手
統一獅,潘傑楷,內野手
統一獅,張皓崴,內野手
統一獅,林靖凱,內野手
統一獅,林泓弦,內野手
統一獅,陳聖平,內野手
統一獅,林祖傑,內野手
統一獅,李丞齡,外野手
統一獅,蘇智傑,外野手
統一獅,朱迦恩,外野手
統一獅,邱智呈,外野手
統一獅,陳傑憲,外野手
統一獅,田子杰,外野手
統一獅,戴伯丞,外野手
富邦悍將,盧柏華,捕手
富邦悍將,張育豪,捕手
富邦悍將,戴培峰,捕手
富邦悍將,林澤彬,內野手
富邦悍將,高捷,內野手
富邦悍將,王念好,內野手
富邦悍將,王苡丞,內野手
富邦悍將,范國宸,內野手
富邦悍將,董子恩,內野手
富邦悍將,葉子霆,內野手
富邦悍將,劉俊豪,內野手
富邦悍將,池恩齊,內野手
富邦悍將,張育成,內野手
富邦悍將,童堉誠,外野手
富邦悍將,王正棠,外野手
富邦悍將,蔡佳諺,外野手
富邦悍將,孔念恩,外野手
富邦悍將,周佳樂,外野手
味全龍,林辰勳,捕手
味全龍,蔣少宏,捕手
味全龍,吉力吉撈．鞏冠,內野手
味全龍,朱育賢,內野手
味全龍,李凱威,內野手
味全龍,劉俊緯,內野手
味全龍,張政禹,內野手
味全龍,劉基鴻,內野手
味全龍,拿莫．伊漾,內野手
味全龍,石翔宇,內野手
味全龍,陳子豪,外野手
味全龍,郭天信,外野手
味全龍,王順和,外野手
味全龍,張祐嘉,外野手
味全龍,冉皓燐,外野手
台鋼雄鷹,陳世嘉,捕手
台鋼雄鷹,陳致嘉,捕手
台鋼雄鷹,劉時豪,捕手
台鋼雄鷹,曾子祐,內野手
台鋼雄鷹,林家鋐,內野手
台鋼雄鷹,吳念庭,內野手
台鋼雄鷹,黃劼希,內野手
台鋼雄鷹,曾昱磬,內野手
台鋼雄鷹,宋柏翰,內野手
台鋼雄鷹,魔鷹,內野手
台鋼雄鷹,陳文杰,外野手
台鋼雄鷹,王博玄,外野手
台鋼雄鷹,王柏融,外野手
台鋼雄鷹,紀慶然,外野手
台鋼雄鷹,藍寅倫,外野手
